,Braddock_16.fastq,Braddock_17.fastq,Braddock_18.fastq,Braddock_19.fastq,Braddock_20.fastq,Control_28.fastq,Control_29.fastq,NevilleIsland_1.fastq,NevilleIsland_2.fastq,NevilleIsland_3.fastq,NevilleIsland_4.fastq,NevilleIsland_5.fastq,PointAll_21.fastq,PointAll_22.fastq,PointAll_23.fastq,PointAll_24.fastq,PointAll_25.fastq,PointMon_10.fastq,PointMon_6.fastq,PointMon_7.fastq,PointMon_8.fastq,PointMon_9.fastq,Sharpsburg_11.fastq,Sharpsburg_12.fastq,Sharpsburg_13.fastq,Sharpsburg_14.fastq,unclassified_0.fastq,
Braddock_16.fastq,0,0.19172011661807575,0.4037826056387541,0.2295710223760663,0.5173669042924314,0.9993957095377178,0.9985905567300916,0.7990586531498913,0.8527767424524786,0.3491315296700458,0.3035234995145908,0.45055395978662294,0.9258756185116911,0.9645684877276326,0.8242970042271641,0.9441806376586879,0.8587882760558104,0.8772094772470853,0.43961952026468154,0.5680957430692319,0.5472050850626285,0.9824246055522269,0.7929106160367998,0.8866073051063057,0.7727800089245872,0.7725609211818263,0.8271380532582023,
Braddock_17.fastq,0.19172011661807575,0,0.5023865312852556,0.363555423653361,0.39195117299256155,0.9988933462442938,0.9977879164938477,0.7345471969333972,0.8095119521912351,0.22561977007898648,0.15292687867125787,0.556450260023486,0.943998948337058,0.9681253376553215,0.8435590320215106,0.944087150544691,0.8724150896102268,0.8356854838709677,0.35716945996275606,0.4791468291753952,0.645415544248229,0.9756631118403063,0.8087516394419936,0.930411750541777,0.854673721340388,0.8449958838057157,0.7726123088040467,
Braddock_18.fastq,0.4037826056387541,0.5023865312852556,0,0.23248981139228508,0.25519248577854214,0.99814039981404,0.9962842545285648,0.5856852979155138,0.6838393731635651,0.5671399594320488,0.5652978795018513,0.10839355197331846,0.8367521367521368,0.9200357382175564,0.6357754519505233,0.8704177323103155,0.7015043547110056,0.7320822519464962,0.695143642537595,0.553003300330033,0.7751648055966636,0.9594255755641669,0.5754578754578754,0.7612939208031233,0.5421297956256723,0.543400286944046,0.6521577380952381,
Braddock_19.fastq,0.2295710223760663,0.363555423653361,0.23248981139228508,0,0.3544250578095438,0.9987214319961643,0.9974444976840761,0.6954989154013016,0.7719546742209632,0.4312314853999154,0.401690873618036,0.27616438356164386,0.8857573474001508,0.9446517412935324,0.7350901525658807,0.9091319392207011,0.7856429285000713,0.8081562320505457,0.5841622781353618,0.527806925498426,0.6813905930470348,0.9719331441185746,0.693863789615644,0.8262885192255249,0.6660029204832072,0.6664453591820476,0.7446460237348247,
Braddock_20.fastq,0.5173669042924314,0.39195117299256155,0.25519248577854214,0.3544250578095438,0,0.9975497702909648,0.9951055368614256,0.4890510948905109,0.6165191740412979,0.5173977105292984,0.4608647552318613,0.31892435285247545,0.884161405435081,0.9313953488372093,0.6965386439070649,0.8467852257181943,0.7459526774595268,0.6445115810674723,0.6396437542817994,0.4144998470480269,0.8216895482728078,0.946865671641791,0.6350893059009721,0.8360202671579917,0.7278132569918521,0.710068296981714,0.5653376353998617,
Control_28.fastq,0.9993957095377178,0.9988933462442938,0.99814039981404,0.9987214319961643,0.9975497702909648,0,0.6666666666666667,0.9964507542147294,0.9950678175092479,0.9989220265900107,0.9992094861660079,0.9982982344182089,0.9948186528497409,0.9890710382513661,0.9958376690946931,0.9899497487437185,0.9973614775725593,0.9944055944055944,0.9995792131285504,0.9975617189881134,0.9997566243801527,0.956989247311828,0.9948542024013722,0.9944700460829493,0.9953271028037384,0.9937597503900156,0.9944547134935305,
Control_29.fastq,0.9985905567300916,0.9977879164938477,0.9962842545285648,0.9974444976840761,0.9951055368614256,0.6666666666666667,0,0.9858532272325375,0.9803680981595092,0.9971274685816877,0.9981564392941796,0.9965993623804463,0.9641025641025641,0.9251336898395722,0.983419689119171,0.9601990049751243,0.9816272965879265,0.9777468706536857,0.9990184393185164,0.995738203957382,0.9995133079847909,0.8556701030927836,0.9863247863247864,0.9853076216712581,0.9875776397515528,0.9875583203732504,0.9871086556169429,
NevilleIsland_1.fastq,0.7990586531498913,0.7345471969333972,0.5856852979155138,0.6954989154013016,0.4890510948905109,0.9964507542147294,0.9858532272325375,0,0.2134715025906736,0.6640239341810023,0.745550579859915,0.6140893470790378,0.8604651162790697,0.8602150537634409,0.5432692307692308,0.7455504284772577,0.6004262120404902,0.3162486368593239,0.8558980361555468,0.8536363636363636,0.933921741688732,0.8547854785478548,0.43544857768052514,0.8811252268602541,0.764461090303787,0.8475635152019991,0.43389368468877787,
NevilleIsland_2.fastq,0.8527767424524786,0.8095119521912351,0.6838393731635651,0.7719546742209632,0.6165191740412979,0.9950678175092479,0.9803680981595092,0.2134715025906736,0,0.7468990422358298,0.8184201119980936,0.7067587209302326,0.7544154751892347,0.7363083164300203,0.4126984126984127,0.6069941715237301,0.4657270980140935,0.1462450592885376,0.8986854335413623,0.8790401567091087,0.9522480251826335,0.8035714285714286,0.29913661757237175,0.8114406779661016,0.6885481552467657,0.7822541966426859,0.31564986737400536,
NevilleIsland_3.fastq,0.3491315296700458,0.22561977007898648,0.5671399594320488,0.4312314853999154,0.5173977105292984,0.9989220265900107,0.9971274685816877,0.6640239341810023,0.7468990422358298,0,0.19394584727715247,0.5845598986255971,0.8758411843876177,0.9376415258665738,0.7564043564963951,0.8985896574882472,0.7891070297656745,0.7867049258727882,0.4625826310743302,0.7361692499151488,0.7145384995706368,0.9685011502388958,0.7141582391433671,0.8654222489838929,0.8196433791289097,0.8464912280701754,0.7457831325301205,
