,Braddock_16.fastq,Braddock_17.fastq,Braddock_18.fastq,Braddock_19.fastq,Braddock_20.fastq,Control_28.fastq,Control_29.fastq,NevilleIsland_1.fastq,NevilleIsland_2.fastq,NevilleIsland_3.fastq,NevilleIsland_4.fastq,NevilleIsland_5.fastq,PointAll_21.fastq,PointAll_22.fastq,PointAll_23.fastq,PointAll_24.fastq,PointAll_25.fastq,PointMon_10.fastq,PointMon_6.fastq,PointMon_7.fastq,PointMon_8.fastq,PointMon_9.fastq,Sharpsburg_11.fastq,Sharpsburg_12.fastq,Sharpsburg_13.fastq,Sharpsburg_14.fastq,unclassified_0.fastq,
Braddock_16.fastq,0,0.3217535962422937,0.5752779725533407,0.37341644882364766,0.6819272291083567,0.9996977634495265,0.9992947813822285,0.8883075065405515,0.9205391269362302,0.5175648511534412,0.465697012179094,0.6212164073550213,0.9615113350125944,0.9819647355163728,0.9036872859157767,0.9712890040873293,0.9240302267002519,0.9345888009616348,0.6107440390692329,0.7245676746208096,0.7073465442242629,0.9911343945194439,0.8844954220746554,0.9398959738008091,0.871828433346758,0.8716889918420787,0.905391961798647,
Braddock_17.fastq,0.3217535962422937,0,0.6687846580406654,0.5332462727173795,0.5631679912304741,0.9994463667820069,0.9988927335640139,0.8469613259668508,0.8947295995596533,0.3681725370086779,0.2652846099789178,0.7150247898253934,0.9711928590749256,0.9838045566840516,0.9151418721824449,0.9712395355117472,0.9318607764390897,0.9104887424492037,0.5263446761800219,0.6478691901635123,0.7845015765219501,0.9876816608996539,0.894264996704021,0.9639516028439565,0.9216432103461392,0.9159867414584396,0.8717217013181139,
Braddock_18.fastq,0.5752779725533407,0.6687846580406654,0,0.37726853275915107,0.406618887015177,0.9990693345742205,0.9981386691484412,0.7387156817124244,0.8122382503489995,0.7237898006730521,0.7222879260294592,0.19558676028084254,0.9111214518380643,0.9583527221963704,0.7773382968822709,0.9307201458523245,0.8245695672405771,0.8453204241585984,0.8201589825119237,0.7121727303638219,0.8733440446236396,0.9792926942764076,0.7305277842362241,0.8644711842938568,0.7030923041153221,0.7041598884499187,0.7894618329205134,
Braddock_19.fastq,0.37341644882364766,0.5332462727173795,0.37726853275915107,0,0.5233586838429303,0.9993603070526147,0.9987206141052295,0.8204062050215897,0.8713029576338929,0.6026020106445891,0.5731518713269409,0.43280377844568485,0.9394181585677749,0.9715382155420531,0.8473221422861711,0.9524034672970844,0.8799552429667519,0.8939008894536213,0.7375030780595913,0.6909340659340659,0.810508392118706,0.985766831920678,0.819267515923567,0.904882783335822,0.7995219123505977,0.7998406374501992,0.8536356528537921,
Braddock_20.fastq,0.6819272291083567,0.5631679912304741,0.406618887015177,0.5233586838429303,0,0.9987733823980374,0.9975467647960748,0.6568627450980392,0.7627737226277372,0.6819539886465491,0.6309478732803231,0.4836128048780488,0.9385198135198135,0.9644792293798916,0.8211291224147569,0.9170370370370371,0.854493580599144,0.7838334353949785,0.7802228412256267,0.5860726643598616,0.9021180903759078,0.9727077583563324,0.776825221238938,0.9106874059207225,0.8424674993627326,0.8304560680237052,0.7223203769140165,
Control_28.fastq,0.9996977634495265,0.9994463667820069,0.9990693345742205,0.9993603070526147,0.9987733823980374,0,0.8,0.9982222222222222,0.9975278121137207,0.9994607226316735,0.9996045867931989,0.9991483925910155,0.9974025974025974,0.9945054945054945,0.9979144942648592,0.9949494949494949,0.9986789960369881,0.9971949509116409,0.9997895622895623,0.9987793713762587,0.9998782973803512,0.978021978021978,0.9974204643164231,0.9972273567467652,0.9976580796252927,0.9968701095461658,0.9972196478220574,
Control_29.fastq,0.9992947813822285,0.9988927335640139,0.9981386691484412,0.9987206141052295,0.9975467647960748,0.8,0,0.9928762243989314,0.990086741016109,0.998561668464581,0.9990773691841307,0.9982967851820311,0.9817232375979112,0.9611111111111111,0.9916405433646813,0.9796954314720813,0.990728476821192,0.9887482419127989,0.9995089786756454,0.9978645515558268,0.9997565947607022,0.9222222222222223,0.9931153184165232,0.9925994449583718,0.99375,0.9937402190923318,0.9935125115848007,
NevilleIsland_1.fastq,0.8883075065405515,0.8469613259668508,0.7387156817124244,0.8204062050215897,0.6568627450980392,0.9982222222222222,0.9928762243989314,0,0.3518360375747225,0.79809421071557,0.8542297066175504,0.7609112199276133,0.925,0.9248554913294798,0.7040498442367602,0.8542296072507553,0.7503328894806924,0.48053024026512015,0.922354590049054,0.9210397253555664,0.9658319895335747,0.9217081850533808,0.6067073170731707,0.9368065605402798,0.8665094339622641,0.9174932371505862,0.6051964512040557,
NevilleIsland_2.fastq,0.9205391269362302,0.8947295995596533,0.8122382503489995,0.8713029576338929,0.7627737226277372,0.9975278121137207,0.990086741016109,0.3518360375747225,0,0.8551141470429624,0.9001441488664658,0.8281882052373856,0.8600191754554171,0.8481308411214954,0.5842696629213483,0.755440414507772,0.6354895104895104,0.2551724137931034,0.9466396251486118,0.9356267917643992,0.9755400060845756,0.8910891089108911,0.4605160281469899,0.895906432748538,0.8155505107832008,0.8778256189451022,0.4798387096774194,
NevilleIsland_3.fastq,0.5175648511534412,0.3681725370086779,0.7237898006730521,0.6026020106445891,0.6819539886465491,0.9994607226316735,0.998561668464581,0.79809421071557,0.8551141470429624,0,0.3248821505924322,0.7378198818897638,0.9338116591928252,0.9678173318950019,0.8613100436681222,0.9465864874425186,0.8821238938053098,0.8806209850107066,0.6325558929064312,0.8480385768278379,0.8335053423992229,0.9839985616684646,0.8332465729654693,0.9278566817301485,0.9008835341365462,0.9168646080760094,0.8543823326432022,
