,Braddock_16.fastq,Braddock_17.fastq,Braddock_18.fastq,Braddock_19.fastq,Braddock_20.fastq,NevilleIsland_1.fastq,NevilleIsland_3.fastq,NevilleIsland_4.fastq,NevilleIsland_5.fastq,PointAll_23.fastq,PointAll_25.fastq,PointMon_6.fastq,PointMon_7.fastq,PointMon_8.fastq,Sharpsburg_11.fastq,Sharpsburg_12.fastq,Sharpsburg_13.fastq,Sharpsburg_14.fastq,unclassified_0.fastq,
Braddock_16.fastq,0,0.13953488372093026,0.23477493380406,0.1498612395929695,0.21109123434704835,0.8023952095808383,0.6693280106453758,0.4177215189873418,0.13953488372093026,0.19004524886877827,0.22380106571936054,0.35526315789473684,0.3022071307300509,0.2332155477031802,0.29931972789115646,0.4251968503937008,0.3792544570502431,0.44236760124610597,0.23943661971830987,
Braddock_17.fastq,0.13953488372093026,0,0.17017383348581883,0.17684594348222427,0.20143884892086328,0.8088147706968434,0.6746189529489728,0.4289080911233307,0.16345270890725438,0.21109123434704835,0.24715162138475022,0.36601307189542487,0.27288428324697755,0.23008849557522126,0.266897746967071,0.42395587076438135,0.3792544570502431,0.43505477308294205,0.2978723404255319,
Braddock_18.fastq,0.23477493380406,0.17017383348581883,0,0.24098504837291113,0.12734082397003743,0.8584474885844748,0.7317691819911224,0.4767707539984768,0.22695035460992907,0.3036471586089907,0.31932773109243695,0.41521394611727414,0.17850637522768675,0.2142857142857143,0.3122362869198312,0.38839645447219984,0.3361064891846922,0.37793998377939986,0.329156223893066,
Braddock_19.fastq,0.1498612395929695,0.17684594348222427,0.24098504837291113,0,0.21109123434704835,0.8144635447540012,0.6936642717178314,0.4650805832693784,0.09342230695900855,0.14643188137164043,0.16849816849816845,0.41521394611727414,0.28473413379073753,0.19331526648599817,0.3221476510067114,0.37000814995925024,0.34574028122415223,0.41017488076311603,0.24868651488616467,
Braddock_20.fastq,0.21109123434704835,0.20143884892086328,0.12734082397003743,0.21109123434704835,0,0.8681380871533673,0.7437185929648241,0.4973703981968445,0.19819819819819817,0.28473413379073753,0.29931972789115646,0.4496124031007752,0.1916817359855335,0.2094897045658013,0.34574028122415223,0.36467702371218313,0.30651989839119387,0.3593109105824446,0.3122362869198312,
NevilleIsland_1.fastq,0.8023952095808383,0.8088147706968434,0.8584474885844748,0.8144635447540012,0.8681380871533673,0,0.3277591973244147,0.6622073578595318,0.810232004759072,0.7922705314009661,0.7886129618413082,0.6842105263157895,0.8757729061270376,0.8445984979780474,0.8073941562313656,0.9344698987746404,0.9264626945786366,0.951232302045097,0.831092928112215,
NevilleIsland_3.fastq,0.6693280106453758,0.6746189529489728,0.7317691819911224,0.6936642717178314,0.7437185929648241,0.3277591973244147,0,0.4697781178270849,0.678996036988111,0.6816084377059987,0.6807387862796834,0.5029940119760479,0.7476518472135254,0.7154784842646114,0.6631016042780749,0.8372093023255813,0.817966903073286,0.851894374282434,0.7038237200259235,
NevilleIsland_4.fastq,0.4177215189873418,0.4289080911233307,0.4767707539984768,0.4650805832693784,0.4973703981968445,0.6622073578595318,0.4697781178270849,0,0.4520123839009288,0.4520123839009288,0.46153846153846156,0.2094897045658013,0.50187265917603,0.50187265917603,0.40891010342084333,0.6613119143239625,0.6254295532646048,0.6666666666666667,0.4836997725549659,
NevilleIsland_5.fastq,0.13953488372093026,0.16345270890725438,0.22695035460992907,0.09342230695900855,0.19819819819819817,0.810232004759072,0.678996036988111,0.4520123839009288,0,0.17850637522768675,0.18511796733212338,0.39357429718875503,0.26238053866203304,0.17850637522768675,0.30508474576271183,0.37662337662337664,0.3347210657785179,0.38969404186795487,0.24253075571177507,
PointAll_23.fastq,0.19004524886877827,0.21109123434704835,0.3036471586089907,0.14643188137164043,0.28473413379073753,0.7922705314009661,0.6816084377059987,0.4520123839009288,0.17850637522768675,0,0.136067101584343,0.40637450199203184,0.29931972789115646,0.21746880570409988,0.30508474576271183,0.39098954143201936,0.360655737704918,0.4264358772619984,0.329156223893066,
PointAll_25.fastq,0.22380106571936054,0.24715162138475022,0.31932773109243695,0.16849816849816845,0.29931972789115646,0.7886129618413082,0.6807387862796834,0.46153846153846156,0.18511796733212338,0.136067101584343,0,0.40764331210191085,0.3277591973244147,0.23633156966490299,0.3079526226734348,0.39357429718875503,0.37133550488599354,0.43137254901960786,0.28326180257510725,
PointMon_6.fastq,0.35526315789473684,0.36601307189542487,0.41521394611727414,0.41521394611727414,0.4496124031007752,0.6842105263157895,0.5029940119760479,0.2094897045658013,0.39357429718875503,0.40637450199203184,0.40764331210191085,0,0.4484096198603569,0.4202211690363349,0.36734693877551017,0.615916955017301,0.5885673959068454,0.6282578875171467,0.4639016897081413,
PointMon_7.fastq,0.3022071307300509,0.27288428324697755,0.17850637522768675,0.28473413379073753,0.1916817359855335,0.8757729061270376,0.7476518472135254,0.50187265917603,0.26238053866203304,0.29931972789115646,0.3277591973244147,0.4484096198603569,0,0.1916817359855335,0.32073887489504616,0.3726606997558991,0.3179142136248949,0.36867862969004894,0.35255354200988465,
PointMon_8.fastq,0.2332155477031802,0.23008849557522126,0.2142857142857143,0.19331526648599817,0.2094897045658013,0.8445984979780474,0.7154784842646114,0.50187265917603,0.17850637522768675,0.21746880570409988,0.23633156966490299,0.4202211690363349,0.1916817359855335,0,0.330550918196995,0.37000814995925024,0.3429991714995857,0.3870967741935484,0.2698961937716263,
Sharpsburg_11.fastq,0.29931972789115646,0.266897746967071,0.3122362869198312,0.3221476510067114,0.34574028122415223,0.8073941562313656,0.6631016042780749,0.40891010342084333,0.30508474576271183,0.30508474576271183,0.3079526226734348,0.36734693877551017,0.32073887489504616,0.330550918196995,0,0.5250737463126844,0.48024316109422494,0.5347985347985348,0.3739837398373984,
Sharpsburg_12.fastq,0.4251968503937008,0.42395587076438135,0.38839645447219984,0.37000814995925024,0.36467702371218313,0.9344698987746404,0.8372093023255813,0.6613119143239625,0.37662337662337664,0.39098954143201936,0.39357429718875503,0.615916955017301,0.3726606997558991,0.37000814995925024,0.5250737463126844,0,0.13432835820895528,0.22064056939501775,0.43505477308294205,
Sharpsburg_13.fastq,0.3792544570502431,0.3792544570502431,0.3361064891846922,0.34574028122415223,0.30651989839119387,0.9264626945786366,0.817966903073286,0.6254295532646048,0.3347210657785179,0.360655737704918,0.37133550488599354,0.5885673959068454,0.3179142136248949,0.3429991714995857,0.48024316109422494,0.13432835820895528,0,0.21746880570409988,0.4012789768185452,
Sharpsburg_14.fastq,0.44236760124610597,0.43505477308294205,0.37793998377939986,0.41017488076311603,0.3593109105824446,0.951232302045097,0.851894374282434,0.6666666666666667,0.38969404186795487,0.4264358772619984,0.43137254901960786,0.6282578875171467,0.36867862969004894,0.3870967741935484,0.5347985347985348,0.22064056939501775,0.21746880570409988,0,0.4686064318529862,
unclassified_0.fastq,0.23943661971830987,0.2978723404255319,0.329156223893066,0.24868651488616467,0.3122362869198312,0.831092928112215,0.7038237200259235,0.4836997725549659,0.24253075571177507,0.329156223893066,0.28326180257510725,0.4639016897081413,0.35255354200988465,0.2698961937716263,0.3739837398373984,0.43505477308294205,0.4012789768185452,0.4686064318529862,0,
