Date,Percentage Alpha,Percentage Delta,Percentage Omicron BA.1,Percentage Other,Percentage Unidentified
2020_11_16,0.07,0.03,0.01,0.88,0.01
2020_11_30,0.12,0,0,0.83,0.05
2020_12_14,0.48,0.01,0,0.47,0.04
2020_12_28,0.76,0.01,0,0.23,0
2021_01_12,0.83,0,0,0.15,0.02
2021_01_25,0.87,0.01,0,0.12,0
2021_02_08,0.92,0,0,0.08,0
2021_02_22,0.95,0.02,0,0.02,0.01
2021_03_08,0.96,0.02,0,0.01,0.01
2021_03_22,1,0,0,0,0
2021_04_05,0.92,0.06,0.01,0,0.01
2021_04_19,0.84,0.06,0.01,0.09,0
2021_05_03,0.82,0.16,0,0.02,0
2021_05_17,0.38,0.58,0,0.04,0
2021_05_31,0.1,0.9,0,0,0
2021_06_14,0.03,0.94,0,0.03,0
2021_06_28,0.01,0.98,0,0.01,0
2021_07_12,0,1,0,0,0
2021_07_26,0,1,0,0,0
2021_08_09,0,0.99,0,0.01,0
2021_08_23,0.01,0.97,0,0.01,0.01
2021_09_06,0,0.97,0,0.03,0
2021_09_20,0,1,0,0,0
2021_10_04,0,1,0,0,0
2021_10_18,0,1,0,0,0
2021_11_01,0,1,0,0,0
2021_11_15,0,0.99,0,0.01,0
2021_11_29,0,1,0,0,0
2021_12_13,0,0.43,0.56,0,0.01
2021_12_27,0,0.09,0.91,0,0
2022_01_10,0.02,0.01,0.97,0,0
2022_01_24,0.01,0,0.99,0,0
2022_02_07,0,0,0.99,0.01,0
2022_02_21,0,0.02,0.97,0.01,0
2022_03_07,0,0,1,0,0
